sub_county,code,county,sqkm
Ainabkoi,KE027144,Uasin Gishu,502.5619202
Ainamoi,KE035190,Kericho,245.6444397
Aldai,KE029152,Nandi,467.7442627
Alego Usonga,KE041234,Siaya,607.5421143
Awendo,KE044254,Migori,262.9594727
Bahati,KE032174,Nakuru,298.29776
Balambala,KE007028,Garissa,4840.463379
Banissa,KE009040,Mandera,3038.613281
Baringo Central,KE030159,Baringo,661.6928101
Baringo North,KE030158,Baringo,1633.774536
Baringo South,KE030160,Baringo,1826.791626
Belgut,KE035192,Kericho,382.7289124
Bobasi,KE045264,Kisii,240.3522339
Bomachoge Borabu,KE045263,Kisii,114.1512756
Bomachoge Chache,KE045265,Kisii,101.9977417
Bomet Central,KE036197,Bomet,268.950531
Bomet East,KE036196,Bomet,305.8098145
Bonchari,KE045261,Kisii,126.6782227
Bondo,KE041236,Siaya,1310.514282
Borabu,KE046273,Nyamira,293.2818298
Budalangi,KE040231,Busia,310.636322
Bumula,KE039219,Bungoma,345.3331909
Bura,KE004020,Tana River,13602.55957
Buret,KE035191,Kericho,315.7070618
Butere,KE037207,Kakamega,209.2274323
Butula,KE040229,Busia,242.9663849
Buuri,KE012057,Meru,1314.857666
Cental Imenti,KE012058,Meru,771.8570557
Changamwe,KE001001,Mombasa,22.7648983
Chepalungu,KE036195,Bomet,536.5463867
Cherangany,KE026140,Trans Nzoia,627.5454102
Chesumei,KE029154,Nandi,486.0812988
Dadaab,KE007030,Garissa,6925.175293
Dagoretti,KE047276,Nairobi,24.44505882
Dujis,KE007027,Garissa,568.3626709
Eldama Ravine,KE030162,Baringo,932.6976929
Eldas,KE008037,Wajir,4740.828613
Embakasi Central,KE047284,Nairobi,8.182378769
Embakasi East,KE047285,Nairobi,85.84393311
Embakasi North,KE047283,Nairobi,5.429279804
Embakasi South,KE047282,Nairobi,17.54935074
Embakasi West,KE047286,Nairobi,9.76080513
Emgwen,KE029155,Nandi,362.8942261
Emuhaya,KE038215,Vihiga,89.18224335
Emurua Dikirr,KE033178,Narok,325.0781555
Endebess,KE026137,Trans Nzoia,668.911499
Fafi,KE007031,Garissa,16583.39844
Funyula,KE040230,Busia,273.3175964
Gachoka,KE014065,Embu,1323.344971
Galole,KE004019,Tana River,9687.24707
Ganze,KE003015,Kilifi,2934.549805
Garsen,KE004018,Tana River,15902.36035
Gatanga,KE021110,Murang'a,600.6107178
Gatundu North,KE022112,Kiambu,234.5355682
Gatundu South,KE022111,Kiambu,221.6983795
Gem,KE041235,Siaya,402.9761963
Gichugu,KE020101,Kirinyaga,467.1112671
Gilgil,KE032169,Nakuru,1263.9646
Githunguri,KE022116,Kiambu,172.9838715
Hamisi,KE038213,Vihiga,186.6544952
Homa Bay,KE043249,Homa Bay,269.0400391
Igembe Central,KE012052,Meru,802.3614502
Igembe North,KE012053,Meru,1075.914307
Igembe South,KE012051,Meru,839.0639648
Ijara,KE007032,Garissa,8224.787109
Ikolomani,KE037210,Kakamega,143.8353424
Isiolo North,KE011049,Isiolo,15321.57227
Isiolo South,KE011050,Isiolo,10077.75684
Jomvu,KE001002,Mombasa,31.72088432
Juja,KE022113,Kiambu,373.4433899
Kabete,KE022119,Kiambu,56.22026825
Kabondo Kasipul,KE043246,Homa Bay,246.9146271
Kabuchai,KE039218,Bungoma,233.7437744
Kacheliba,KE024131,West Pokot,4110.896973
Kaiti,KE017085,Makueni,404.2863464
Kajiado Central,KE034184,Kajiado,4305.316895
Kajiado East,KE034186,Kajiado,3268.803711
Kajiado North,KE034183,Kajiado,112.4006119
Kajiado South,KE034187,Kajiado,6338.670898
Kajiado West,KE034185,Kajiado,7859.648438
Kaloleni,KE003013,Kilifi,668.305542
Kamukunji,KE047288,Nairobi,8.837454796
Kandara,KE021109,Murang'a,209.9440155
Kanduyi,KE039220,Bungoma,319.1791992
Kangema,KE021104,Murang'a,351.3077393
Kangundo,KE016077,Machakos,171.0052948
Kapenguria,KE024129,West Pokot,1776.116821
Kapseret,KE027145,Uasin Gishu,357.1617126
Karachuonyo,KE043247,Homa Bay,747.8074951
Kasarani,KE047280,Nairobi,136.2742157
Kasipul,KE043245,Homa Bay,258.1202393
Kathiani,KE016079,Machakos,206.0111237
Keiyo North,KE028149,Elgeyo-Marakwet,541.8540649
Keiyo South,KE028150,Elgeyo-Marakwet,886.3115845
Kesses,KE027146,Uasin Gishu,670.7629395
Khwisero,KE037208,Kakamega,144.4163513
Kiambaa,KE022118,Kiambu,88.66467285
Kiambu,KE022117,Kiambu,97.99088287
Kibra,KE047278,Nairobi,12.3303175
Kibwezi East,KE017088,Makueni,2219.572998
Kibwezi West,KE017087,Makueni,1767.545532
Kieni,KE019095,Nyeri,1814.097656
Kigumo,KE021107,Murang'a,316.242218
Kiharu,KE021106,Murang'a,305.6880493
Kikuyu,KE022120,Kiambu,174.3073883
Kilgoris,KE033177,Narok,2538.864258
Kilifi North,KE003011,Kilifi,784.4257813
Kilifi South,KE003012,Kilifi,424.2839966
Kilimani,KE047275,Nairobi,29.35572433
Kilome,KE017084,Makueni,823.2692871
Kimilili,KE039223,Bungoma,177.410675
Kiminini,KE026139,Trans Nzoia,368.6295776
Kinango,KE002010,Kwale,4833.679688
Kinangop,KE018089,Nyandarua,538.8843384
Kipipiri,KE018090,Nyandarua,941.1764526
Kipkelion East,KE035188,Kericho,752.4439697
Kipkelion West,KE035189,Kericho,352.3030701
Kirinyaga Central,KE020103,Kirinyaga,237.2636719
Kisauni,KE001003,Mombasa,89.52658081
Kisumu Central,KE042240,Kisumu,68.31214142
Kisumu East,KE042238,Kisumu,165.4524078
Kisumu West,KE042239,Kisumu,312.3574219
Kitui Central,KE015072,Kitui,728.5588379
Kitui East,KE015073,Kitui,4726.478027
Kitui Rural,KE015071,Kitui,1529.265015
Kitui South,KE015074,Kitui,12719.35352
Kitui West,KE015070,Kitui,630.3432007
Kitutu Chache North,KE045268,Kisii,130.4313202
Kitutu Chache South,KE045269,Kisii,97.57301331
Kitutu Masaba,KE046270,Nyamira,253.7003937
Konoin,KE036198,Bomet,851.3751221
Kuresoi North,KE032171,Nakuru,611.4645996
Kuresoi South,KE032170,Nakuru,524.9326172
Kuria East,KE044260,Migori,238.2397308
Kuria West,KE044259,Migori,341.8085938
Kwanza,KE026136,Trans Nzoia,464.8059387
Lafey,KE009044,Mandera,3543.549561
Lagdera,KE007029,Garissa,6453.811035
Laikipia East,KE031164,Laikipia,3222.260254
Laikipia North,KE031165,Laikipia,4916.200684
Laikipia West,KE031163,Laikipia,1398.459839
Laisamis,KE010048,Marsabit,24080.16797
Lamu East,KE005021,Lamu,2153.482422
Lamu West,KE005022,Lamu,3893.53833
Langata,KE047277,Nairobi,209.8090973
Lari,KE022122,Kiambu,465.9374084
Likoni,KE001005,Mombasa,52.07635498
Likuyani,KE037200,Kakamega,301.2480469
Limuru,KE022121,Kiambu,284.9660339
Loima,KE023126,Turkana,9746.041992
Luanda,KE038214,Vihiga,83.61746979
Lugari,KE037199,Kakamega,367.7707214
Lunga Lunga,KE002008,Kwale,2018.801392
Lurambi,KE037202,Kakamega,161.6921234
Maara,KE013061,Tharaka-Nithi,504.8777466
Machakos Town,KE016081,Machakos,757.0568237
Magarini,KE003017,Kilifi,6977.02002
Makadara,KE047287,Nairobi,11.99723434
Makueni,KE017086,Makueni,1979.755859
Malava,KE037201,Kakamega,422.9586182
Malindi,KE003016,Kilifi,576.7576904
Mandera East,KE009043,Mandera,2551.358154
Mandera North,KE009041,Mandera,6129.766113
Mandera South,KE009042,Mandera,5541.341797
Mandera West,KE009039,Mandera,5174.643555
Manyatta,KE014063,Embu,358.1193237
Maragwa,KE021108,Murang'a,461.9839172
Marakwet East,KE028147,Elgeyo-Marakwet,810.5366821
Marakwet West,KE028148,Elgeyo-Marakwet,769.6889038
Masinga,KE016075,Machakos,1406.428101
Matayos,KE040228,Busia,193.9221497
Mathare,KE047290,Nairobi,2.902835846
Mathioya,KE021105,Murang'a,279.7182312
Mathira,KE019096,Nyeri,457.9579468
Matuga,KE002009,Kwale,1053.852051
Matungu,KE037206,Kakamega,277.8104858
Matungulu,KE016078,Machakos,581.4158936
Mavoko,KE016080,Machakos,842.567749
Mbooni,KE017083,Makueni,980.4232788
Mogotio,KE030161,Baringo,1387.780518
Moiben,KE027143,Uasin Gishu,775.8503418
Molo,KE032166,Nakuru,511.1366272
Mosop,KE029156,Nandi,584.2975464
Moyale,KE010045,Marsabit,9343.782227
Msambweni,KE002007,Kwale,359.6965637
Mt. Elgon,KE039216,Bungoma,954.8994141
Muhoroni,KE042243,Kisumu,664.1870117
Mukurweni,KE019098,Nyeri,178.358963
Mumias East,KE037205,Kakamega,174.9698792
Mumias West,KE037204,Kakamega,138.3354797
Mvita,KE001006,Mombasa,14.71895885
Mwala,KE016082,Machakos,1018.840027
Mwatate,KE006025,Taita Taveta,3691.552002
Mwea,KE020100,Kirinyaga,432.5062256
Mwingi East,KE015069,Kitui,4244.865234
Mwingi North,KE015067,Kitui,4697.320801
Mwingi West,KE015068,Kitui,1180.626343
Naivasha,KE032168,Nakuru,1721.774414
Nakuru Town East,KE032176,Nakuru,157.4052124
Nakuru Town West,KE032175,Nakuru,139.8916473
Nambale,KE040227,Busia,232.3359222
Nandi Hills,KE029153,Nandi,393.0799866
Narok East,KE033180,Narok,2046.767822
Narok North,KE033179,Narok,2723.42749
Narok South,KE033181,Narok,4831.418945
Narok West,KE033182,Narok,5446.629883
Navakholo,KE037203,Kakamega,257.4182434
Ndaragwa,KE018093,Nyandarua,874.0857544
Ndhiwa,KE043250,Homa Bay,695.4030762
Ndia,KE020102,Kirinyaga,338.3988037
Nithi,KE013060,Tharaka-Nithi,598.1681519
Njoro,KE032167,Nakuru,782.5006104
North Horr,KE010046,Marsabit,40557.34766
North Imenti,KE012056,Meru,301.9828491
North Mugirango,KE046272,Nyamira,170.3484497
Nyakach,KE042244,Kisumu,402.5355225
Nyali,KE001004,Mombasa,22.80051231
Nyando,KE042242,Kisumu,603.0876465
Nyaribari Chache,KE045267,Kisii,135.9544525
Nyaribari Masaba,KE045266,Kisii,159.172226
Nyatike,KE044258,Migori,1214.092896
Nyeri Town,KE019099,Nyeri,169.1946106
Ol Jorok,KE018092,Nyandarua,625.380127
Ol Kalou,KE018091,Nyandarua,287.1991882
Othaya,KE019097,Nyeri,356.4499817
Pokot South,KE024132,West Pokot,1267.747192
Rabai,KE003014,Kilifi,233.9353333
Rangwe,KE043248,Homa Bay,290.7329407
Rarieda,KE041237,Siaya,679.1633911
Rongai,KE032173,Nakuru,1021.44928
Rongo,KE044253,Migori,212.579422
Roysambu,KE047279,Nairobi,48.10435867
Ruaraka,KE047281,Nairobi,7.179671764
Ruiru,KE022115,Kiambu,153.1184387
Runyenjes,KE014064,Embu,371.830658
Sabatia,KE038212,Vihiga,111.4894485
Saboti,KE026138,Trans Nzoia,354.8114624
Saku,KE010047,Marsabit,2046.53772
Samburu East,KE025135,Samburu,10059.125
Samburu North,KE025134,Samburu,8480.794922
Samburu West,KE025133,Samburu,2475.748779
Seme,KE042241,Kisumu,449.1040039
Shinyalu,KE037209,Kakamega,408.3366699
Siakago,KE014066,Embu,770.4019775
Sigor,KE024130,West Pokot,2150.747803
Sigowet/Soin,KE035193,Kericho,464.3832703
Sirisia,KE039217,Bungoma,210.1429901
Sotik,KE036194,Bomet,475.5382385
South Imenti,KE012059,Meru,661.6986694
South Mugirango,KE045262,Kisii,207.4239197
Soy,KE027141,Uasin Gishu,655.444397
Starehe,KE047289,Nairobi,16.8363533
Suba North,KE043251,Homa Bay,1050.86731
Suba South,KE043252,Homa Bay,1173.049194
Subukia,KE032172,Nakuru,454.2550354
Suna East,KE044255,Migori,206.6816254
Suna West,KE044256,Migori,284.157074
Tarbaj,KE008035,Wajir,7544.372559
Taveta,KE006023,Taita Taveta,4007.269775
Teso North,KE040225,Busia,254.0739746
Teso South,KE040226,Busia,304.3193665
Tetu,KE019094,Nyeri,358.5135803
Tharaka,KE013062,Tharaka-Nithi,1477.947388
Thika Town,KE022114,Kiambu,219.1053772
Tiaty,KE030157,Baringo,4446.501953
Tigania East,KE012055,Meru,833.3162842
Tigania West,KE012054,Meru,391.4922791
Tinderet,KE029151,Nandi,541.689209
Tongaren,KE039224,Bungoma,375.4391785
Turbo,KE027142,Uasin Gishu,435.0576477
Turkana Central,KE023125,Turkana,6615.802734
Turkana East,KE023128,Turkana,11183.86914
Turkana North,KE023123,Turkana,20482.23242
Turkana South,KE023127,Turkana,7419.551758
Turkana West,KE023124,Turkana,14684.24121
Ugenya,KE041232,Siaya,321.0593567
Ugunja,KE041233,Siaya,199.1775513
Uriri,KE044257,Migori,383.7792969
Vihiga,KE038211,Vihiga,89.52488708
Voi,KE006026,Taita Taveta,8581.292969
Wajir East,KE008034,Wajir,4279.577637
Wajir North,KE008033,Wajir,10398.86914
Wajir South,KE008038,Wajir,21580.61914
Wajir West,KE008036,Wajir,8124.320313
Webuye East,KE039221,Bungoma,163.9555054
Webuye West,KE039222,Bungoma,236.0701904
West Mugirango,KE046271,Nyamira,179.8222046
Westlands,KE047274,Nairobi,72.70425415
Wundanyi,KE006024,Taita Taveta,850.9522705
Yatta,KE016076,Machakos,1060.933716
