county,code,area_sqkm
Baringo,KE030,10889.23926
Bomet,KE036,2438.220215
Bungoma,KE039,3016.174072
Busia,KE040,1811.571655
Elgeyo Marakwet,KE028,3008.391113
Embu,KE014,2823.697021
Garissa,KE007,43595.99609
Homa Bay,KE043,4731.935059
Isiolo,KE011,25399.32813
Kajiado,KE034,21884.83984
Kakamega,KE037,3008.019531
Kericho,KE035,2513.210693
Kiambu,KE022,2542.97168
Kilifi,KE003,12599.27832
Kirinyaga,KE020,1475.279907
Kisii,KE045,1313.734375
Kisumu,KE042,2665.036133
Kitui,KE015,30456.81055
Kwale,KE002,8266.029297
Laikipia,KE031,9536.920898
Lamu,KE005,6047.020996
Machakos,KE016,6044.258789
Makueni,KE017,8174.853516
Mandera,KE009,25979.27148
Marsabit,KE010,76027.83594
Meru,KE012,6992.544434
Migori,KE044,3144.298096
Mombasa,KE001,233.6081848
Muranga,KE021,2525.494873
Nairobi,KE047,707.5422974
Nandi,KE029,2835.786621
Narok,KE033,17912.18555
Nyamira,KE046,897.1528931
Nyandarua,KE018,3266.72583
Nyeri,KE019,3334.572754
Samburu,KE025,21015.66992
Siaya,KE041,3520.432861
Taita Taveta,KE006,17131.06641
Tana River,KE004,39192.16797
Tharaka Nithi,KE013,2580.993408
Trans Nzoia,KE026,2484.703857
Turkana,KE023,70131.74219
Uasin Gishu,KE027,3396.838867
Vihiga,KE038,560.4685669
Wajir,KE008,56668.58984
West Pokot,KE024,9305.508789
Nakuru,KE032,7487.072266
